Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,unknown,1,,type,1,,
Data,0,file_id,serial_number,"3962941654",,time_created,"885578760",,manufacturer,"1",,garmin_product,"2623",,number,"1",,type,"32",,,,,
Definition,1,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,,,,,,,
Data,1,device_info,timestamp,"885578760",s,serial_number,"3962941654",,manufacturer,"1",,garmin_product,"2623",,software_version,"2.7",,,,,,,,
Definition,2,software,version,1,,,,,,,,,,,,,,,,,,,,
Data,2,software,version,"3.6",,,,,,,,,,,,,,,,,,,,
Definition,3,monitoring_info,timestamp,1,,local_timestamp,1,,cycles_to_distance,2,,cycles_to_calories,2,,unknown,2,,resting_metabolic_rate,1,,activity_type,2,,unknown,1,,
Data,3,monitoring_info,timestamp,"885578760",s,local_timestamp,"885578760",s,cycles_to_distance,"1.6198|2.4296",m/cycle,cycles_to_calories,"0.0448|0.1416",kcal/cycle,unknown,"7500|7500",,resting_metabolic_rate,"1948",kcal / day,activity_type,"6|1",,unknown,"1",,
Definition,4,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,4,monitoring,timestamp,"885578760",s,unknown,"0",,unknown,"0",,,,,,,,,,,,,,,,,
Definition,5,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp,"885578760",s,unknown,"0",,unknown,"0",,,,,,,,,,,,,,,,,
Definition,6,unknown,unknown,22,,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"15|220|200|52|2|2|96|0|0|43|43|0|0|0|0|0|0|44|44|43|43|43",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"15|220|200|52|2|2|6|0|0|43|43|0|0|0|0|0|0|43|44|44|44|44",,,,,,,,,,,,,,,,,,,,,,,
Definition,7,monitoring,timestamp,1,,current_activity_type_intensity,1,,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp,"885578760",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,
Definition,0,stress_level,stress_level_time,1,,stress_level_value,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"881304360",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Definition,1,monitoring,timestamp_16,1,,heart_rate,1,,,,,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"56388",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885578880",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp,"885578880",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885578940",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579000",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579060",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579120",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579180",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579240",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579300",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579360",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579420",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579480",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579540",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579600",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579660",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579720",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
